ticker,company,region,scope_or_layer,role,market_cap,price_date,last_close,evidence_level,market_understanding,priority,next_validation,main_risks
BESI.AS,BE Semiconductor,Europe,先进封装/HBM; Hybrid bonding/die attach,hybrid bonding/die attach; Hybrid bonding/TCB for HBM4/3D packaging,21673144320,2026-05-22,273.60,中高,High,Anchor,hybrid bonding backlog; HBM4 客户订单; 2026H2-2027 adoption; HBM4/hybrid bonding orders; TCB backlog; smartphone cycle,欧洲大票; smartphone cycle; adoption timing
ASX,ASE Technology,Existing/US-focused,先进封装/HBM,OSAT advanced packaging/CoWoS overflow,N/A,N/A,N/A,中高,半明牌,B,CoWoS/FOCoS capacity; WUS collaboration; advanced test revenue,ADR 与台湾本体流动性; 毛利; capex
HPS-A.TO,Hammond Power Solutions,Canada,电力/变压器; Transformers/power quality,dry-type transformers/power quality; Dry-type transformers and custom data-center power products,3569215232,2026-05-22,299.81,高,Medium,A,data center custom shipments; Mexico factory ramp; backlog conversion; Backlog quality; data-center mix; gross margin,加拿大流动性; 原材料/关税; 估值重估后回撤
ETN,Eaton,Existing/US-focused,电力/变压器,electrical Americas/switchgear/power chain,151961206784,2026-05-22,391.35,高,明牌,Anchor,orders/backlog; NVIDIA AI factory power blueprint; margin,太大; AI 纯度低; 估值
GEV,GE Vernova,Existing/US-focused,电力/变压器,grid equipment/power generation/transformers,279130210304,2026-05-22,1038.74,高,明牌,Anchor,electrification backlog; Prolec GE; data center orders,超大票; turbine cycle; 政策/执行
ECL,Ecolab,Existing/US-focused,液冷/热管理,water/cooling chemistry/CoolIT owner,71293747200,2026-05-22,253.32,高,明牌,Anchor,CoolIT integration; AI cooling revenue disclosure; water treatment attach,大票; 收购整合; 估值
3017.TW,Asia Vital Components,Taiwan,液冷/热管理; Liquid cooling/thermal,cold plates/fans/chassis/racks; Cold plates/fans/thermal modules for AI servers,998095060992,2026-05-22,2545.00,中,High,Anchor,cold plate份额; GB/Rubin server ramp; customer concentration; Liquid cooling revenue mix; GB300/Rubin exposure; customer concentration,台湾股; 估值; 客户集中
APH,Amphenol,Existing/US-focused,铜互连/连接器,copper/optical connectors/cables,162464759808,2026-05-22,132.06,高,明牌,Anchor,data center organic growth; CommScope CCS integration; 224G/448G connectors,超大票; 收购整合; 估值
TEL,TE Connectivity,Existing/US-focused,铜互连/连接器,connectors/sensors/cable assemblies,59190632448,2026-05-22,202.78,中,明牌,B,AI/data center connector demand; industrial recovery,AI 纯度低; 大票
GLW,Corning,Existing/US-focused,铜互连/连接器,optical fiber/cable/glass/CPO fiber handling,167006765056,2026-05-22,194.05,高,明牌,Anchor,Meta/AI fiber shipments; CPO FlexConnect; display/other cycles,超大票; 非纯 AI; 估值
MU,Micron,Existing/US-focused,存储,HBM4/SOCAMM2/PCIe Gen6 SSD,846928216064,2026-05-22,751.00,高,明牌,Anchor,HBM4 contracts; 9650 Gen6 SSD; SOCAMM2 attach,超大票; memory cycle; capex
WDC,Western Digital,Existing/US-focused,存储,high-capacity HDD/HAMR roadmap,166922665984,2026-05-22,484.28,高,明牌,B+,hyperscaler LTAs; high-capacity roadmap; capacity sold out claims,HDD 周期; 云客户集中; ASP
STX,Seagate,Existing/US-focused,存储,HAMR/high-capacity HDD,182237626368,2026-05-22,812.73,高,明牌,B+,HAMR yield; cloud qualifications; gross margin,大票; HDD cycle; customer concentration
8299.TWO,Phison,Taiwan,存储; SSD controllers/enterprise SSD,SSD controllers/enterprise SSD/edge AI storage; Enterprise SSD controllers and AI/edge storage,537238994944,2026-05-22,2430.00,中,Medium,B,enterprise SSD controller; aiDAPTIV/Pascari; revenue mix; Enterprise SSD controller wins; Pascari/aiDAPTIV traction; NAND cycle,台湾 OTC; NAND cycle; 竞争
6324.T,Harmonic Drive Systems,Japan,机器人执行器; Robotics reducer,strain-wave reducers; Strain-wave reducers for humanoid/precision robotics,663614193664,2026-05-22,7010.00,中,Medium,B+,humanoid OEM design-ins; capacity; margin recovery; Humanoid OEM design-ins; capacity; China competition,工业机器人周期; 中国竞争; 估值
6471.T,Nabtesco,Japan,机器人执行器; Bearings/linear motion,RV/cycloidal precision reducers; Bearings/precision motion for robotics and industrial automation,582781304832,2026-05-22,1191.00,中,Medium,B,humanoid/cobot entry; 6-axis set solution; industrial robot recovery; Robotics/automation order recovery; humanoid component exposure,周期低迷; humanoid 放量慢
RRX,Regal Rexnord,Existing/US-focused,机器人执行器,precision motors/actuators/drives/air moving,13365838848,2026-05-22,200.78,中,较低,B,AMC orders; automation mix; data center air moving/power distribution,AI/robotics 纯度低; 债务/整合; 周期
NOVT,Novanta,Existing/US-focused,机器人传感器,precision motion/force sensing/robotics,5687213056,2026-05-22,159.70,中,较低,B,robotics customer wins; force sensing; surgical robotics growth,医疗设备周期; AI 纯度低
SENS,Sensata Technologies,Existing/US-focused,机器人传感器,force sensors/motors/actuators,330966784,2026-05-22,6.34,低,较低,Spec,robotics/force sensor design-ins; balance sheet repair,基本面弱; 非纯机器人; 高风险
6762.T,TDK,Japan,机器人传感器/磁性; Sensors/magnets/batteries,sensors/MEMS/magnets/actuators/batteries; IMU/ToF/magnetic sensors/magnetics for physical AI,6396734078976,2026-05-22,3370.00,中高,High,Anchor,SensorGPT; robotics sensor platform; magnetics/battery demand; Robotics sensor platform; magnetic components; battery cycle,大票; 消费电子暴露; 日股
NEO.TO,Neo Performance Materials,Canada,磁材/稀土; Magnets/rare earths,Magnequench/bonded magnets/rare metals; Magnequench bonded magnets and European PM facility,1253820544,2026-05-22,29.86,中高,Low,A-,Magnequench EBITDA; European magnet facility; customer agreements; Commercial PM projects; Magnequench EBITDA; Dy/Tb separation,小盘流动性; 稀土价格; 债务
300308.SZ,Zhongji Innolight,China A,Optical modules,800G/1.6T AI data-center optical transceivers,,,,High,High,Anchor,1.6T revenue mix; overseas customer concentration; gross margin; export/geopolitical risk,
300502.SZ,Eoptolink,China A,Optical modules/NPO,1.6T DR4/FRO/LRO/LPO and 6.4T NPO/12.8T XPO demos,,,,High,High,Anchor,1.6T mass production orders; NPO/XPO customer validation; Hong Kong listing progress,
300394.SZ,Suzhou TFC,China A,Optical passive components,Optical components/passives for 800G/1.6T modules,,,,Medium-High,High,B+,Passive component ASP/mix; overseas data-center customer exposure; margin sustainability,
002281.SZ,Accelink,China A,Optical modules/components,Optical transceivers and components for data center/telecom,,,,Medium,Medium,B,AI data-center revenue mix; 800G/1.6T product traction; telecom vs datacom split,
300570.SZ,T&S Communications,China A,Fiber components,Optical fiber interconnect components and MPO/MTP/connector assemblies,,,,Medium,Medium,B,AI data center connector/cable exposure; overseas customer mix,
002463.SZ,WUS Printed Circuit,China A,PCB/substrate,High-speed PCB for AI servers/optical modules,,,,Medium-High,High,B+,AI server PCB mix; GB/Rubin platform exposure; margin and capacity,
002384.SZ,Dongshan Precision,China A,PCB/precision components,High-speed PCB/FPC and precision manufacturing for AI hardware,,,,Medium,High,B,AI server and optical module PCB mix; customer concentration,
600183.SS,Shengyi Technology,China A,CCL/materials,High-speed copper-clad laminate for AI server/PCB,,,,Medium-High,High,B+,High-speed CCL revenue; low-loss material ASP; customer/platform exposure,
002156.SZ,Tongfu Microelectronics,China A,OSAT/advanced packaging,Chip packaging/test exposure including HPC/AI processors,,,,Medium,Medium,B,Advanced packaging revenue; AMD/HPC customer exposure; capex and margins,
300604.SZ,Hangzhou Changchuan,China A,Semiconductor test equipment,ATE/test equipment for semiconductors and advanced packaging,,,,Medium,Medium,B,AI/HBM/advanced packaging test orders; non-memory exposure,
688072.SS,Piotech,China A,Deposition equipment,Thin-film deposition/CVD/ALD related China semi equipment,,,,Medium,Medium,B,Advanced packaging/AI-related deposition orders; China capex cycle,
3324.TWO,Auras Technology,Taiwan,Thermal modules/liquid cooling,AI server thermal modules and liquid-cooling components,,,,Medium-High,Medium,A-,Thailand capacity ramp; GB300 component orders; customer mix,
2308.TW,Delta Electronics,Taiwan,Power/cooling/HVDC,800VDC AI factory power,,,, CDU, microgrid, power systems,High,
2360.TW,Chroma ATE,Taiwan,Power testing/ATE,HVDC/AI server power testing and photonics/semiconductor test,,,,High,Medium,A-,AI server power test revenue; photonics test; major cloud/power customer demand,
6669.TW,Wiwynn,Taiwan,AI servers,System integration for hyperscale AI servers,,,,High,High,Anchor,GB/Rubin server shipments; margin; hyperscaler concentration,
2382.TW,Quanta Computer,Taiwan,AI servers,System integration,,,, racks, AI server manufacturing,High,High,
2356.TW,Inventec,Taiwan,AI servers/System integration,AI server manufacturing and systems,,,,Medium,Medium,B,AI server mix; customer wins; margin,
3231.TW,Wistron,Taiwan,AI servers/System integration,AI server and rack manufacturing,,,,High,High,B+,AI server shipment growth; GB/Rubin ramp; capex,
3711.TW,ASE Technology,Taiwan,OSAT/advanced packaging,Advanced packaging/test and AI packaging overflow,,,,High,Medium,B+,CoWoS/FOCoS/VIPack capacity; advanced test revenue,
2327.TW,Yageo,Taiwan,Passive components,MLCC/resistors/passives for AI servers and power,,,,Medium,Medium,B,AI server passive component demand; high-end MLCC ASP,
2317.TW,Foxconn/Hon Hai,Taiwan,AI servers/System integration,AI factory/server/rack assembly and manufacturing scale,,,,High,High,Anchor,AI server revenue; NVIDIA/GB system exposure; margin,
4938.TW,Pegatron,Taiwan,AI servers/System integration,Server/system assembly candidate,,,,Medium,Medium,B,AI server wins; margin; customer mix,
6268.T,Nabtesco,Japan,Precision reducers,RV/cycloidal precision reduction gears for heavy joints/robots,,,,Medium,Low,B+,Humanoid/cobot demand; precision reduction gear orders; industrial robot recovery,
6594.T,Nidec,Japan,Precision motors/actuators,High-efficiency motors and motion components,,,,Medium,Medium,B,Robotics/AI infrastructure motor exposure; margin recovery,
6473.T,JTEKT,Japan,Bearings/drive/steering,Precision bearings and motion components,,,,Medium,Medium,B,Robotics/automation exposure; automotive cycle,
6103.T,Okuma,Japan,Machine tools,Precision machine tools for component manufacturing,,,,Medium,Low,B,AI hardware/robotics capex; machine tool order cycle,
6861.T,Keyence,Japan,Factory automation/sensors,Machine vision/sensors for automated manufacturing,,,,High,High,Anchor,Factory automation recovery; AI hardware manufacturing capex,
AIXA.DE,AIXTRON,Europe,MOCVD/compound semi equipment,InP/GaAs laser and power device epitaxy equipment,,,,High,Medium,A-,InP laser equipment orders; AI optical source capex,
IQE.L,IQE,Europe,Compound semiconductor epitaxy,III-V epi wafers for lasers/VCSEL/InP/GaAs,,,,Medium,Low,Spec,Datacom photonics orders; balance sheet; customer concentration,
IFX.DE,Infineon,Europe,Power semiconductors,Power devices for data-center power architecture,,,,High,High,Anchor,AI data center power revenue; GaN/SiC adoption; margins,
SU.PA,Schneider Electric,Europe,Electrical infrastructure,Data-center power distribution,,,, switchgear, cooling,High,High,
ABBN.SW,ABB,Europe,Grid/electrical infrastructure,Electrification,,,, switchgear, transformers, data-center power,High,
