scope,ticker,company,exchange_currency_or_market,price_date,last_close,market_cap_reported,role,why_it_matters,evidence_level,market_understanding,main_catalysts,main_risks,priority
电力/变压器,PPSI,Pioneer Power,USA/USD,2026-05-22,5.21,57811548,"mobile distributed power/PRYMUS","极小票，押注 1-10MW 临时/边缘供电解决数据中心 speed-to-power",中低,较低,"PRYMUS 600万美元订单交付; 多客户复购; 5-10MW 项目","现金流/融资; 产品验证早; 项目型风险",Spec
电力/变压器,ETN,Eaton,USA/USD,2026-05-22,391.35,151961206784,"electrical Americas/switchgear/power chain","Electrical Americas 12个月滚动订单 +42%，数据中心动能驱动；从 grid 到 chip 的大票锚",高,明牌,"orders/backlog; NVIDIA AI factory power blueprint; margin","太大; AI 纯度低; 估值",Anchor
电力/变压器,GEV,GE Vernova,USA/USD,2026-05-22,1038.74,279130210304,"grid equipment/power generation/transformers","数据中心电力需求拉动 gas turbines、switchgear、transformers、substations",高,明牌,"electrification backlog; Prolec GE; data center orders","超大票; turbine cycle; 政策/执行",Anchor
液冷/热管理,MOD,Modine,USA/USD,2026-05-22,260.52,13737530368,"data center cooling/thermal","管理层将 data center sales 未来两年增长目标提到 50%-70% CAGR",高,半明牌,"capacity expansion; liquid cooling mix; data center revenue >$2B target","已大涨; 项目波动; 竞争",A-
液冷/热管理,VRT,Vertiv,USA/USD,2026-05-22,327.46,125780262912,"power/cooling/CDU/liquid cooling","AI 高密度 rack 使电力和液冷系统成为基础设施龙头锚",高,明牌,"organic orders/backlog; acquisitions; liquid cooling adoption","估值高; 执行整合; capex cycle",Anchor
液冷/热管理,NVT,nVent,USA/USD,2026-05-22,164.66,26628888576,"electrical connection/enclosures/liquid cooling","模块化液冷、连接保护、bus systems 与数据中心高密度 rack 相关",中高,半明牌,"Avail acquisition; SC25 portfolio; data center order growth","业务混杂; 关税成本; 估值",B+
液冷/热管理,ECL,Ecolab,USA/USD,2026-05-22,253.32,71293747200,"water/cooling chemistry/CoolIT owner","47.5亿美元收购 CoolIT，切入 CDU/cold plate/direct-to-chip 液冷",高,明牌,"CoolIT integration; AI cooling revenue disclosure; water treatment attach","大票; 收购整合; 估值",Anchor
液冷/热管理,3017.TW,Asia Vital Components,TWD,2026-05-22,2545.00,998095060992,"cold plates/fans/chassis/racks","亚洲 AI server 液冷核心供应链，Q1 2026 收入 +110% YoY",中,明牌,"cold plate份额; GB/Rubin server ramp; customer concentration","台湾股; 估值; 客户集中",B+
铜互连/连接器,APH,Amphenol,USA/USD,2026-05-22,132.06,162464759808,"copper/optical connectors/cables","AI clusters 需要高带宽铜和光连接器，OFC 2026 展示铜/光/电源一体 portfolio",高,明牌,"data center organic growth; CommScope CCS integration; 224G/448G connectors","超大票; 收购整合; 估值",Anchor
铜互连/连接器,TEL,TE Connectivity,USA/USD,2026-05-22,202.78,59190632448,"connectors/sensors/cable assemblies","电力、数据中心、高速连接器和传感器综合暴露",中,明牌,"AI/data center connector demand; industrial recovery","AI 纯度低; 大票",B
铜互连/连接器,GLW,Corning,USA/USD,2026-05-22,194.05,167006765056,"optical fiber/cable/glass/CPO fiber handling","AI 数据中心光纤、CPO fiber handling、Meta 多年大单使其成为光基础设施锚",高,明牌,"Meta/AI fiber shipments; CPO FlexConnect; display/other cycles","超大票; 非纯 AI; 估值",Anchor
铜互连/连接芯片,CRDO,Credo,USA/USD,2026-05-22,218.41,40285712384,"AEC/SerDes/optical DSP","短距铜 AEC 降功耗/延迟，向 optical DSP 扩展",高,明牌,"AEC growth; DustPhotonics integration; optical revenue FY2027","估值高; 客户集中; 光替代争议",B+
铜互连/连接芯片,ALAB,Astera Labs,USA/USD,2026-05-22,306.88,52601667584,"PCIe/CXL/Ethernet/NVLink Fusion connectivity","AI server 内 PCIe/CXL/retimer/switch/memory connectivity 核心",高,明牌,"Scorpio/Aries/Leo/Taurus; Amazon warrant; NVLink Fusion/custom","估值极高; 客户集中; 竞争",B+
存储,MU,Micron,USA/USD,2026-05-22,751.00,846928216064,"HBM4/SOCAMM2/PCIe Gen6 SSD","Rubin 生态 HBM4、SOCAMM2、Gen6 SSD 同步量产，存储从后台变主链",高,明牌,"HBM4 contracts; 9650 Gen6 SSD; SOCAMM2 attach","超大票; memory cycle; capex",Anchor
存储,WDC,Western Digital,USA/USD,2026-05-22,484.28,166922665984,"high-capacity HDD/HAMR roadmap","AI 数据湖和训练数据存储拉动 HDD，40TB UltraSMR/100TB+ HAMR 路线",高,明牌,"hyperscaler LTAs; high-capacity roadmap; capacity sold out claims","HDD 周期; 云客户集中; ASP",B+
存储,STX,Seagate,USA/USD,2026-05-22,812.73,182237626368,"HAMR/high-capacity HDD","Mozaic 4+ 和 44TB-class 高容量盘，AI 数据生成推动冷/温存储",高,明牌,"HAMR yield; cloud qualifications; gross margin","大票; HDD cycle; customer concentration",B+
存储,8299.TWO,Phison,TWD,2026-05-22,2430.00,537238994944,"SSD controllers/enterprise SSD/edge AI storage","从消费控制器转向 AI/enterprise SSD 与 edge AI 存储方案",中,半明牌,"enterprise SSD controller; aiDAPTIV/Pascari; revenue mix","台湾 OTC; NAND cycle; 竞争",B
机器人执行器,6324.T,Harmonic Drive Systems,JPY,2026-05-22,7010.00,663614193664,"strain-wave reducers","谐波减速器是 humanoid 小关节/精密关节关键件",中,半明牌,"humanoid OEM design-ins; capacity; margin recovery","工业机器人周期; 中国竞争; 估值",B+
机器人执行器,6471.T,Nabtesco,JPY,2026-05-22,1191.00,582781304832,"RV/cycloidal precision reducers","重载关节、肩/髋等可能用高刚性精密减速器，官方提 humanoid shoulder/hip 应用",中,较低,"humanoid/cobot entry; 6-axis set solution; industrial robot recovery","周期低迷; humanoid 放量慢",B+
机器人执行器,RRX,Regal Rexnord,USA/USD,2026-05-22,200.78,13365838848,"precision motors/actuators/drives/air moving","motion control、precision motors、actuators 与自动化/机器人和数据中心 air moving 均有暴露",中,较低,"AMC orders; automation mix; data center air moving/power distribution","AI/robotics 纯度低; 债务/整合; 周期",B
机器人传感器,NOVT,Novanta,USA/USD,2026-05-22,159.70,5687213056,"precision motion/force sensing/robotics","医疗/工业机器人中的 motion control 和 force sensing 能力，适合作为传感器/运动控制观察票",中,较低,"robotics customer wins; force sensing; surgical robotics growth","医疗设备周期; AI 纯度低",B
机器人传感器,SENS,Sensata Technologies,USA/USD,2026-05-22,6.34,330966784,"force sensors/motors/actuators","力传感和 rugged motion control，可能切入机器人/自动化触觉和力控",低,较低,"robotics/force sensor design-ins; balance sheet repair","基本面弱; 非纯机器人; 高风险",Spec
机器人传感器/磁性,6762.T,TDK,JPY,2026-05-22,3370.00,6396734078976,"sensors/MEMS/magnets/actuators/batteries","IMU、ToF、magnetic sensors、motor controller、magnets、battery 均是 physical AI 组件",中高,明牌,"SensorGPT; robotics sensor platform; magnetics/battery demand","大票; 消费电子暴露; 日股",B
磁材/稀土,MP,MP Materials,USA/USD,2026-05-22,64.46,11475310592,"rare earths/magnets","美国 mine-to-magnet 供应链，10X 磁材园区面向 drones/robotics/AI data centers",中高,半明牌,"10X campus; offtake/government; magnet revenue ramp","稀土价格; 政策; 执行",B+
磁材/稀土,NEO.TO,Neo Performance Materials,CAD,2026-05-22,29.86,1253820544,"Magnequench/bonded magnets/rare metals","Magnequench 和欧洲永磁设施，机器人/工业自动化/advanced computing infrastructure 受益",中高,较低,"Magnequench EBITDA; European magnet facility; customer agreements","小盘流动性; 稀土价格; 债务",A-
材料,MTRN,Materion,USA/USD,2026-05-22,215.04,4473150976,"specialty materials/optical coatings/electronic materials","光通信、半导体、数据中心材料与涂层的非纯 AI 卖铲人",中,较低,"semiconductor/data center material sales; optical coatings; hafnium/tantalum demand","业务混杂; 材料周期; AI 纯度低",B
