ticker,theme,strategy_bucket,current_action,entry_zone_or_trigger,add_trigger,trim_exit_trigger,why_it_stays_in_universe
NVT,power_cooling,Selective AP/HBM,"Needs DD before sizing","Pullback plus AI-specific mix proof","Data-center electrical/cooling synergy proven","AI mix remains vague","Electrical protection/cooling adjacent"
ECL,power_cooling,Core anchors,"Watch CoolIT integration","Pullback plus CoolIT revenue disclosure","Liquid cooling revenue/margin visible","Integration or valuation issue","CoolIT liquid cooling optionality"
AAON,power_cooling,Cold high-upside options,"New candidate; no buy before DD","Data-center cooling backlog proof","Backlog/margin confirms AI exposure","No data-center mix proof","Potential overlooked thermal candidate"
FIX,power_cooling,Cold high-upside options,"New candidate; no buy before DD","AI data-center backlog proof","Mechanical/electrical backlog and margin durable","Backlog rolls over","Engineering/buildout beneficiary"
CAMT,advanced_packaging_hbm,Selective AP/HBM,"Wait base/pullback","$160-$170 base or $145-$155 reset","H2 >25% vs H1 and Hawk/OSAT repeat","H2 fails or GM <50%","High-quality AP/HBM inspection"
ONTO,advanced_packaging_hbm,Core anchors,"Core watch/pullback","$245-$260; better $225-$235","Q2 high end, Q3 >$340M, G5/3Di follow-on","Q2 < $320M or no follow-on","Platform process-control winner"
FORM,advanced_packaging_hbm,Selective AP/HBM,"Selective only","$115-$122 or $100-$110 reset","HBM/probe revenue and guide accelerate","HBM/probe slows","KGD/HBM probe bottleneck"
AEHR,advanced_packaging_hbm,Selective AP/HBM,"No chase; event only","$78-$85 or production order","New hyperscaler/silicon photonics production order","Bookings disappoint","AI processor/silicon photonics burn-in option"
ACMR,advanced_packaging_hbm,Selective AP/HBM,"No chase; starter after pullback/confirmation","$60-$64; better $52-$56","Non-China AP repeat and OCF/AR/inventory improve","OCF negative, AR/inventory worsen","Wet/ECP/AP/panel cleaning lever"
KLIC,advanced_packaging_hbm,Cold high-upside options,"No chase; pullback/confirmation","$92-$98; better $80-$86","FTC/HBM/AP orders translate into guide raise","Legacy drags and AP fails","Potential AP assembly transition"
BESI.AS,advanced_packaging_hbm,Selective AP/HBM,"Needs Europe DD","Pullback plus hybrid bonding order proof","HBM4/hybrid bonding adoption","Adoption timing slips","Hybrid bonding/TCB leader"
AMKR,advanced_packaging_hbm,Selective AP/HBM,"Lower priority","Only on valuation reset plus AI packaging mix","Advanced packaging/test revenue improves","Capex/margin drag","OSAT advanced packaging anchor"
CRDO,copper_interconnect,Core anchors,"Anchor/high-beta; valuation discipline","Pullback plus customer concentration clarity","AEC/SerDes revenue bridge rises","Customer concentration or valuation break","Copper interconnect winner"
ALAB,copper_interconnect,Core anchors,"Anchor/high-beta; valuation discipline","Pullback plus product attach proof","PCIe/CXL/retimer attach expands","Customer concentration or valuation break","AI connectivity platform"
APH,copper_interconnect,Core anchors,"Anchor only","Pullback plus data-center growth split","AI connector/cable growth confirmed","Broad industrial drag","Connector/cable exposure"
TEL,copper_interconnect,Core anchors,"Secondary","Pullback plus AI mix clarity","Data-center connector mix improves","AI purity remains low","Connector/sensor exposure"
MU,storage_memory,Core anchors,"Macro confirmation only","HBM pricing/contract pullback setup","HBM contract and margin durability","Memory cycle turns","HBM/memory anchor"
WDC,storage_memory,Core anchors,"Secondary","Pullback plus cloud LTA/HAMR proof","High-capacity HDD LTAs expand","HDD cycle weakens","AI/cloud storage exposure"
STX,storage_memory,Core anchors,"Secondary","Pullback plus HAMR/customer qualification","HAMR and gross margin improve","HDD cycle weakens","AI/cloud storage exposure"
POET,optical_networking,Cold high-upside options,"Preserve; option only","$10-$12 or production PO","Production PO/yield/revenue bridge","PO slips or financing dilution","Optical engine asymmetric option"
LWLG,optical_networking,Cold high-upside options,"Preserve; option only","Pullback plus PDK/foundry update","Commercial contract/reliability proof","No contract or timeline slips","EO polymer material option"
ALMU,optical_networking,Cold high-upside options,"Preserve; micro option","Pullback plus customer validation","Commercial non-government revenue","No commercial revenue/dilution","III-V-on-silicon platform option"
PPSI,power_cooling,Cold high-upside options,"Preserve; micro option","$4.2-$4.6 or repeat PRYMUS order","Repeat PRYMUS orders and cash proof","No repeats/cash burn","Distributed power microcap option"
NEO.TO,physical_ai_magnets,Cold high-upside options,"Preserve; option/watch","C$26-C$28 or C$23-C$25","Magnequench EBITDA/customer contracts","Commodity/facility/liquidity issues","Magnet/rare-earth physical AI option"
IQE.L,optical_networking,Cold high-upside options,"Preserve; needs DD","Balance-sheet proof plus datacom order","Datacom photonics orders and cash runway","Balance sheet worsens","Compound semiconductor epi option"
AXTI,optical_networking,Cold high-upside options,"Preserve but no chase","$105-$115 or $80-$90","License/Tongmei risk improves and volume confirms","Geopolitical/export risk worsens","InP/GaAs substrate bottleneck"
AIXA.DE,optical_networking,Cold high-upside options,"Preserve; needs DD","Pullback plus AI datacom backlog","MOCVD/InP laser order visibility","Broad cycle no AI split","Compound semi equipment lever"
COHU,advanced_packaging_hbm,Cold high-upside options,"Starter possible after repeat order proof","$42-$45; better $38-$40","HPC/GaN orders repeat and FY outlook >$100M","Orders one-off/test cycle turns","Overlooked AI/GaN test bottleneck"
