ticker,theme,company,deep_dive_status,current_bucket,decision_grade,action_now,upgrade_trigger,downshift_trigger,core_positive,core_risk,next_file_needed
POET,optical_networking,POET Technologies,"Completed batch4 decision-grade option report",Cold high-upside options,B-,"Option only; no chase","Lumilens/EOI production PO conversion, Malaysia yield proof, 2027 revenue bridge","PO slips, financing dilution, no revenue conversion","$50M Lumilens PO creates non-linear potential","Pre-scale revenue and financing risk","Refresh after late-2026 samples"
LWLG,optical_networking,Lightwave Logic,"Completed expansion deep dive; commercial proof needed",Cold high-upside options,C+,"Watch/pilot only","Named commercial contract, reliability and foundry transfer proof","Timeline slips, no commercial contract","EO polymer material discontinuity potential","Pre-revenue adoption risk","Refresh after mid-2026 validation"
ALMU,optical_networking,Aeluma,"Completed expansion deep dive; commercialization needed",Cold high-upside options,C+,"Watch/pilot only","Commercial non-government revenue and recurring customer orders","Only grants/prototypes, dilution","300mm III-V-on-silicon platform optionality","Very early revenue and liquidity","Refresh after 2026H2 contracts"
HPS-A.TO,power_cooling,Hammond Power Solutions,"Completed decision-grade",Core anchors,B+,"Small starter/pullback","Q2/Q3 backlog/book-to-bill >1, GM near 30%, AEG economics clear","Backlog decline, GM <28%, AEG integration issue","Small public transformer/custom power candidate","Data-center mix not quantified; AEG integration","Refresh after Q2/AEG close"
POWL,power_cooling,Powell Industries,"Completed batch3; strongest power evidence",High-conviction active,A-,"Starter on pullback","Backlog rises after $400M+ data-center order; GM near high-20s","Backlog weakens or GM <27%","Strong historical power/cooling winner; mega data-center order","Lumpy engineered orders","Refresh after Q3"
MOD,power_cooling,Modine,"Completed batch3; near-term event pending",High-conviction active,A-,"Wait May 26/27 validation","FY2027 data-center outlook strong; FCF/working capital improve","Data-center growth slows or working capital worsens","Thermal/data-center cooling winner","Earnings event and cash conversion","Refresh after 2026-05-26/27"
VRT,power_cooling,Vertiv,"Anchor deep dive",Core anchors,B+,"Anchor only; crowded","Orders/backlog/liquid cooling continue; FCF strong","AI capex slowdown or valuation extreme","AI power/cooling benchmark","Crowded large cap","Anchor tracking note"
ETN,power_cooling,Eaton,"Anchor deep dive",Core anchors,B,"Anchor only","Electrical Americas data-center orders/backlog and margins hold","Orders slow or valuation extreme","Electrical infrastructure benchmark","AI purity lower","Anchor tracking note"
NVT,power_cooling,nVent,"Batch deep dive; needs DD",Selective AP/HBM,B,"Needs DD before sizing","Data-center electrical/cooling mix and liquid-cooling growth proof","AI mix remains vague","Electrical protection and liquid cooling adjacency","Pure AI exposure unclear","NVT_decision_grade_v1"
ECL,power_cooling,Ecolab,"Batch deep dive; CoolIT option",Core anchors,B,"Watch CoolIT integration","CoolIT close and revenue/margin disclosure","Integration leverage or valuation issue","CoolIT adds direct liquid cooling platform","Acquisition price/integration risk","ECL_CoolIT_review_v1"
AAON,power_cooling,AAON,"Completed expansion deep dive; industry anchor",Core anchors,B+,"Industry anchor; no chase","BASX liquid cooling/backlog and margin proof","Data-center mix or margin disappoints","BASX liquid cooling sales growth and backlog","HVAC mix and valuation","Refresh after Q2/Q3"
FIX,power_cooling,Comfort Systems USA,"Completed expansion deep dive; industry anchor",Core anchors,B+,"Industry anchor; no chase","AI data-center backlog and margins durable","Backlog/margin rolls over","Mechanical/electrical buildout beneficiary","Project cyclicality and valuation","Refresh after Q2/Q3"
PPSI,power_cooling,Pioneer Power,"Completed batch4 decision-grade micro option",Cold high-upside options,C+,"Option only; no chase","PRYMUS repeat orders beyond initial $6M and cash/margin proof","No repeat orders, cash burn","Distributed power microcap optionality","Liquidity and product-market proof","Refresh after 2026H2 PRYMUS/PowerCore"
CAMT,advanced_packaging_hbm,Camtek,"Completed decision-grade",Selective AP/HBM,A-,"Wait base/pullback","H2 >25% vs H1, Hawk/OSAT repeat orders, margin recovery","H2 fails, no repeat orders, GM <50%","High-quality AP/HBM inspection","Valuation and order lumpiness","Refresh after Q2"
ONTO,advanced_packaging_hbm,Onto Innovation,"Completed decision-grade",Core anchors,A-,"Core watch/pullback","Q2 high end, Q3 >$340M, G5/3Di follow-on","Q2 < $320M or no follow-on","Platform process-control winner","Capital structure/Rigaku complexity","Refresh after Q2/Rigaku"
FORM,advanced_packaging_hbm,FormFactor,"Completed batch3; HBM/probe bridge clear",Selective AP/HBM,B+,"Selective only","Q2 record revenue, HBM/probe bridge and guide accelerate","HBM/probe demand slows","HBM/probe cards/KGD bottleneck","DRAM cycle and customer concentration","Refresh after Q2"
AEHR,advanced_packaging_hbm,Aehr Test Systems,"Completed batch4; event-driven high valuation",Selective AP/HBM,B,"No chase; event only","New hyperscaler/silicon-photonics production orders; bookings persist","Bookings disappoint or orders one-off","AI processor and silicon photonics burn-in option","Order lumpiness and customer concentration","Refresh after FY2027 guide"
ACMR,advanced_packaging_hbm,ACM Research,"Completed decision-grade",Selective AP/HBM,B,"No chase; pullback/confirmation","Non-China AP repeat and OCF/AR/inventory improve","OCF negative, AR/inventory worsen","Wet/ECP/AP/panel cleaning lever","China concentration and cash conversion","Refresh after Q2"
KLIC,advanced_packaging_hbm,Kulicke & Soffa,"Completed batch4; cold-to-active candidate",Cold high-upside options,B,"No chase; pullback/confirmation","FTC/HBM/AP orders translate into guide raise; TCB capacity monetized","Legacy drags and AP fails","Potential AP assembly transition","Legacy cycle and competition","Refresh after Q3 FY2026"
BESI.AS,advanced_packaging_hbm,BE Semiconductor,"Europe DD needed",Selective AP/HBM,B,"Needs Europe DD","HBM4/hybrid bonding adoption/orders","Adoption timing slips","Hybrid bonding/TCB leader","Smartphone cycle and valuation","BESI_decision_grade_v1"
AMKR,advanced_packaging_hbm,Amkor,"Lower-priority anchor",Selective AP/HBM,B-,"Only on valuation reset","AI packaging mix and margin improve","Capex/margin drag","OSAT advanced packaging anchor","Low margin, capital intensity","AMKR_tracking_note"
COHU,advanced_packaging_hbm,Cohu,"Completed batch4; overlooked AI/HPC test",Cold high-upside options,B,"Starter possible after repeat orders","HPC/GaN orders repeat; FY HPC outlook >$100M","Orders one-off or test cycle turns","AI/GaN/HPC test bottleneck","AI purity lower and cycle beta","Refresh after Q2"
CRDO,copper_interconnect,Credo,"Anchor/high beta; needs valuation discipline",Core anchors,B+,"Pullback only","AEC/SerDes revenue bridge rises and customer concentration manageable","Customer concentration or valuation break","Copper interconnect winner","Valuation/customer concentration","CRDO_tracking_note"
ALAB,copper_interconnect,Astera Labs,"Anchor/high beta; needs valuation discipline",Core anchors,B+,"Pullback only","PCIe/CXL/retimer attach expands","Customer concentration or valuation break","AI connectivity platform","Valuation/customer concentration","ALAB_tracking_note"
APH,copper_interconnect,Amphenol,"Anchor",Core anchors,B,"Pullback only","AI connector/cable growth split confirmed","Broad industrial drag","Connector/cable exposure","AI purity diluted","APH_tracking_note"
TEL,copper_interconnect,TE Connectivity,"Secondary anchor",Core anchors,B-,"Secondary","AI mix clarity","AI purity remains low","Connector/sensor exposure","AI purity low","TEL_tracking_note"
MU,storage_memory,Micron,"Macro confirmation",Core anchors,B,"Not main small-cap alpha","HBM contract and margin durability","Memory cycle turns","HBM/memory anchor","Cyclical memory","Macro tracking"
WDC,storage_memory,Western Digital,"Secondary",Core anchors,B-,"Secondary","Cloud LTA/HAMR proof","HDD cycle weakens","AI/cloud storage exposure","HDD cycle","Macro tracking"
STX,storage_memory,Seagate,"Secondary",Core anchors,B-,"Secondary","HAMR qualification and margin improve","HDD cycle weakens","AI/cloud storage exposure","HDD cycle","Macro tracking"
NEO.TO,physical_ai_magnets,Neo Performance Materials,"Completed batch4; physical AI magnet option",Cold high-upside options,B-,"Option/watch","Magnequench EBITDA/customer contracts/PM facility progress","Commodity/facility/liquidity issues","Best small public magnet candidate in pool","Physical AI timing and rare-earth cycle","Refresh after 2026H2 PM facility"
MP,physical_ai_magnets,MP Materials,"Strategic magnet anchor",Cold high-upside options,B-,"Watch only","10X magnet/offtake economics","Commodity or execution issue","US rare-earth/magnet strategic exposure","Commodity and valuation","MP_tracking_note"
6762.T,physical_ai_magnets,TDK,"Large sensor/magnetic anchor",Cold high-upside options,B-,"Watch only","Robotics sensor/magnetic component revenue proof","Consumer cycle dominates","Sensors/magnetics broad exposure","AI purity low","TDK_tracking_note"
