node_date,trade_date,node_id,theme,node_type,trigger,source_url,thesis,basket_ret_20d_%,xQQQ_20d_%,xSMH_20d_%,actual_days_20d,used_count_20d,used_tickers_20d,basket_ret_60d_%,xQQQ_60d_%,xSMH_60d_%,actual_days_60d,used_count_60d,used_tickers_60d,basket_ret_120d_%,xQQQ_120d_%,xSMH_120d_%,actual_days_120d,used_count_120d,used_tickers_120d,basket_ret_252d_%,xQQQ_252d_%,xSMH_252d_%,actual_days_252d,used_count_252d,used_tickers_252d
2024-03-18,2024-03-18,blackwell_gtc_2024,power_cooling,architecture_shift,NVIDIA Blackwell/rack-scale AI factory framing increases power-density demands,https://nvidianews.nvidia.com/news/nvidia-blackwell-platform-arrives-to-power-a-new-era-of-computing,"GB200/NVL72-class systems should re-rate liquid cooling, switchgear and electrical infrastructure",0.2,0.72,-0.4,20,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR,12.21,2.8,-8.56,60,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR,1.28,-3.76,0.35,120,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR,5.68,-5.43,0.99,252,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR
2024-03-18,2024-03-18,blackwell_gtc_2024,copper_interconnect,architecture_shift,NVIDIA Blackwell/rack-scale systems require faster copper/electrical connectivity,https://nvidianews.nvidia.com/news/nvidia-blackwell-platform-arrives-to-power-a-new-era-of-computing,Scale-up/scale-out connectivity should reward retimer/AEC/connector suppliers,6.43,6.95,5.83,20,6,CRDO|APH|TEL|MXL|AVGO|MRVL,20.2,10.78,-0.57,60,6,CRDO|APH|TEL|MXL|AVGO|MRVL,6.19,1.15,5.27,120,6,CRDO|APH|TEL|MXL|AVGO|MRVL,34.93,23.82,30.24,252,6,CRDO|APH|TEL|MXL|AVGO|MRVL
2024-05-22,2024-05-22,nvda_q1_fy25_ai_factory,power_cooling,earnings_confirmation,NVIDIA Q1 FY2025 framed AI factories and accelerated data-center buildout,https://investor.nvidia.com/news/press-release-details/2024/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2025/default.aspx,AI factory language should strengthen non-chip infrastructure trade,-5.75,-11.1,-18.63,20,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR,-7.26,-13.01,-14.36,60,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR,22.83,9.96,15.5,120,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR,2.74,-12.31,-2.11,252,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR
2024-05-22,2024-05-22,nvda_q1_fy25_ai_factory,advanced_packaging_hbm,earnings_confirmation,NVIDIA Q1 FY2025 confirmed data-center revenue acceleration,https://investor.nvidia.com/news/press-release-details/2024/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2025/default.aspx,Confirmed AI demand should support HBM/AP equipment,2.08,-3.27,-10.8,20,7,CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR,-2.35,-8.11,-9.45,60,7,CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR,-14.26,-27.13,-21.58,120,7,CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR,-31.75,-46.8,-36.6,252,7,CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR
2024-12-12,2024-12-12,broadcom_fy24_ai_networking,optical_networking,networking_confirmation,Broadcom FY2024 AI revenue +220% driven by AI XPUs and Ethernet networking,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2024,AI networking confirmation should rotate attention to optical/networking suppliers,-1.52,3.02,-1.84,20,10,LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL|CRDO,-27.1,-15.62,-16.83,60,10,LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL|CRDO,-13.63,-14.09,-18.66,120,10,LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL|CRDO,66.94,50.88,23.1,252,10,LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL|CRDO
2024-12-12,2024-12-12,broadcom_fy24_ai_networking,copper_interconnect,networking_confirmation,Broadcom FY2024 highlighted AI XPUs and Ethernet networking,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2024,Custom AI ASIC and Ethernet scaling should pull copper/electrical connectivity,4.79,9.32,4.47,20,7,CRDO|ALAB|APH|TEL|MXL|AVGO|MRVL,-24.31,-12.83,-14.05,60,7,CRDO|ALAB|APH|TEL|MXL|AVGO|MRVL,-2.81,-3.27,-7.84,120,7,CRDO|ALAB|APH|TEL|MXL|AVGO|MRVL,43.84,27.77,-0.01,252,7,CRDO|ALAB|APH|TEL|MXL|AVGO|MRVL
2025-09-29,2025-09-29,semtech_1p6t_fiberedge,optical_networking,product_order,Semtech FiberEdge 1.6T/200G per channel product signal,https://www.semtech.com/company/press/semtech-advances-1.6t-multimode-innovation-for-ai-infrastructure,1.6T component-level product activity should support second-order optical suppliers,18.47,13.09,6.63,20,8,SMTC|MTSI|MXL|LITE|COHR|AAOI|FN|VIAV,53.79,49.27,40.59,60,8,SMTC|MTSI|MXL|LITE|COHR|AAOI|FN|VIAV,137.03,138.11,115.04,120,8,SMTC|MTSI|MXL|LITE|COHR|AAOI|FN|VIAV,326.42,305.72,246.79,163,8,SMTC|MTSI|MXL|LITE|COHR|AAOI|FN|VIAV
2026-03-16,2026-03-16,onto_dragonfly_g5_hbm4,advanced_packaging_hbm,product_order,Onto Dragonfly G5 selected by leading HBM manufacturer for HBM4 ramp,https://investors.ontoinnovation.com/news/news-details/2026/Onto-Innovation-Launches-Dragonfly-G5-Inspection-System/default.aspx,HBM4 inspection/metrology wins should validate AP/HBM equipment basket,40.74,34.73,24.05,20,6,ONTO|CAMT|FORM|ACMR|KLIC|AEHR,63.57,42.56,14.77,48,6,ONTO|CAMT|FORM|ACMR|KLIC|AEHR,63.57,42.56,14.77,48,6,ONTO|CAMT|FORM|ACMR|KLIC|AEHR,63.57,42.56,14.77,48,6,ONTO|CAMT|FORM|ACMR|KLIC|AEHR
2026-03-16,2026-03-16,gtc_2026_rubin_system,optical_networking,architecture_shift,NVIDIA Rubin system roadmap increases networking and system bottlenecks,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Kicks-Off-the-Next-Generation-of-AI-With-Rubin--Six-New-Chips-One-Incredible-AI-Supercomputer/default.aspx,Rubin-scale systems should keep optical/networking/copper bottlenecks alive,32.15,26.14,15.46,20,10,LITE|COHR|AAOI|FN|SMTC|MTSI|MXL|VIAV|CRDO|ALAB,119.02,98.02,70.23,48,10,LITE|COHR|AAOI|FN|SMTC|MTSI|MXL|VIAV|CRDO|ALAB,119.02,98.02,70.23,48,10,LITE|COHR|AAOI|FN|SMTC|MTSI|MXL|VIAV|CRDO|ALAB,119.02,98.02,70.23,48,10,LITE|COHR|AAOI|FN|SMTC|MTSI|MXL|VIAV|CRDO|ALAB
2026-03-16,2026-03-16,gtc_2026_rubin_system,power_cooling,architecture_shift,NVIDIA Rubin system roadmap continues AI factory power-density pressure,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Kicks-Off-the-Next-Generation-of-AI-With-Rubin--Six-New-Chips-One-Incredible-AI-Supercomputer/default.aspx,Rubin systems should reinforce power/cooling bottlenecks,19.44,13.43,2.74,20,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR,30.56,9.55,-18.24,48,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR,30.56,9.55,-18.24,48,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR,30.56,9.55,-18.24,48,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR
