node_date,trade_date,node_id,theme,ticker,node_type,trigger,actual_days_20d,ret_20d_%,xQQQ_20d_%,xSMH_20d_%,actual_days_60d,ret_60d_%,xQQQ_60d_%,xSMH_60d_%,actual_days_120d,ret_120d_%,xQQQ_120d_%,xSMH_120d_%,actual_days_252d,ret_252d_%,xQQQ_252d_%,xSMH_252d_%
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,VRT,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,2.5,7.31,6.86,60,23.11,18.23,10.72,120,23.03,4.36,1.59,252,241.97,202.05,190.69
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,ETN,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,-2.96,1.85,1.4,60,7.88,3.0,-4.5,120,4.76,-13.91,-16.68,252,44.71,4.79,-6.57
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,POWL,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,40.52,45.33,44.87,60,78.13,73.25,65.74,120,134.83,116.16,113.4,252,243.73,203.81,192.45
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,MOD,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,-2.09,2.72,2.27,60,18.5,13.61,6.11,120,-4.22,-22.9,-25.66,252,151.41,111.48,100.12
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,MU,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,-8.11,-3.3,-3.75,60,5.14,0.26,-7.25,120,21.22,2.55,-0.22,252,38.84,-1.09,-12.44
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,WDC,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,-12.38,-7.57,-8.02,60,6.8,1.92,-5.58,120,3.33,-15.34,-18.11,252,34.3,-5.62,-16.98
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,STX,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,4.49,9.29,8.84,60,27.23,22.35,14.84,120,22.22,3.55,0.79,252,61.27,21.35,9.99
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,advanced_packaging_hbm,CAMT,earnings_shock,NVIDIA Q1 FY2024 guide shock: accelerated computing and generative AI demand surge,20,14.8,5.89,2.41,60,76.25,66.94,61.19,120,137.21,121.29,114.49,252,288.27,249.98,201.08
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,advanced_packaging_hbm,ONTO,earnings_shock,NVIDIA Q1 FY2024 guide shock: accelerated computing and generative AI demand surge,20,6.44,-2.46,-5.95,60,15.19,5.88,0.13,120,37.72,21.8,15.0,252,135.33,97.04,48.13
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,advanced_packaging_hbm,FORM,earnings_shock,NVIDIA Q1 FY2024 guide shock: accelerated computing and generative AI demand surge,20,-1.8,-10.71,-14.19,60,0.16,-9.15,-14.9,120,27.89,11.97,5.17,252,91.6,53.31,4.4
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,advanced_packaging_hbm,KLIC,earnings_shock,NVIDIA Q1 FY2024 guide shock: accelerated computing and generative AI demand surge,20,10.12,1.21,-2.27,60,0.66,-8.66,-14.41,120,-7.22,-23.13,-29.93,252,-5.78,-44.07,-92.97
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,advanced_packaging_hbm,AMKR,earnings_shock,NVIDIA Q1 FY2024 guide shock: accelerated computing and generative AI demand surge,20,12.3,3.4,-0.09,60,11.04,1.73,-4.02,120,9.43,-6.49,-13.29,252,44.63,6.34,-42.56
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,advanced_packaging_hbm,ACMR,earnings_shock,NVIDIA Q1 FY2024 guide shock: accelerated computing and generative AI demand surge,20,22.1,13.19,9.71,60,42.43,33.12,27.37,120,85.06,69.15,62.35,252,134.02,95.73,46.83
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,advanced_packaging_hbm,AEHR,earnings_shock,NVIDIA Q1 FY2024 guide shock: accelerated computing and generative AI demand surge,20,28.58,19.68,16.19,60,31.61,22.3,16.55,120,-16.58,-32.49,-39.29,252,-62.54,-100.83,-149.73
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,optical_networking,LITE,earnings_shock,NVIDIA Q1 FY2024 guide shock: data center acceleration requires networking,20,17.49,8.59,5.1,60,3.4,-5.91,-11.66,120,-7.44,-23.35,-30.15,252,-1.66,-39.95,-88.85
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,optical_networking,COHR,earnings_shock,NVIDIA Q1 FY2024 guide shock: data center acceleration requires networking,20,46.38,37.48,33.99,60,11.85,2.53,-3.21,120,11.03,-4.88,-11.69,252,86.99,48.7,-0.2
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,optical_networking,AAOI,earnings_shock,NVIDIA Q1 FY2024 guide shock: data center acceleration requires networking,20,152.33,143.42,139.94,60,797.67,788.36,782.61,120,613.95,598.04,591.24,252,629.07,590.78,541.87
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,optical_networking,FN,earnings_shock,NVIDIA Q1 FY2024 guide shock: data center acceleration requires networking,20,26.26,17.35,13.87,60,18.75,9.44,3.69,120,77.45,61.53,54.73,252,150.22,111.93,63.03
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,optical_networking,SMTC,earnings_shock,NVIDIA Q1 FY2024 guide shock: data center acceleration requires networking,20,12.45,3.55,0.06,60,18.18,8.87,3.12,120,-27.88,-43.79,-50.6,252,87.65,49.35,0.45
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,optical_networking,MTSI,earnings_shock,NVIDIA Q1 FY2024 guide shock: data center acceleration requires networking,20,1.16,-7.74,-11.23,60,23.57,14.26,8.51,120,39.81,23.9,17.1,252,74.62,36.33,-12.57
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,optical_networking,VIAV,earnings_shock,NVIDIA Q1 FY2024 guide shock: data center acceleration requires networking,20,7.44,-1.46,-4.95,60,4.65,-4.66,-10.41,120,-15.08,-31.0,-37.8,252,-23.66,-61.95,-110.85
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,optical_networking,AVGO,earnings_shock,NVIDIA Q1 FY2024 guide shock: data center acceleration requires networking,20,20.4,11.5,8.01,60,26.69,17.38,11.63,120,43.26,27.34,20.54,252,109.13,70.84,21.93
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,optical_networking,MRVL,earnings_shock,NVIDIA Q1 FY2024 guide shock: data center acceleration requires networking,20,24.1,15.2,11.72,60,28.98,19.67,13.92,120,22.67,6.75,-0.05,252,65.25,26.96,-21.95
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,power_cooling,VRT,earnings_shock,NVIDIA Q1 FY2024 guide shock: accelerated data centers need more power and cooling,20,45.12,36.22,32.73,60,115.29,105.97,100.22,120,167.59,151.67,144.87,252,552.33,514.04,465.13
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,power_cooling,ETN,earnings_shock,NVIDIA Q1 FY2024 guide shock: accelerated data centers need more power and cooling,20,13.48,4.58,1.09,60,26.4,17.09,11.34,120,34.17,18.26,11.46,252,101.75,63.46,14.55
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,power_cooling,POWL,earnings_shock,NVIDIA Q1 FY2024 guide shock: accelerated data centers need more power and cooling,20,0.39,-8.51,-12.0,60,30.79,21.48,15.73,120,48.39,32.47,25.67,252,244.45,206.16,157.26
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,power_cooling,MOD,earnings_shock,NVIDIA Q1 FY2024 guide shock: accelerated data centers need more power and cooling,20,53.0,44.1,40.62,60,107.7,98.39,92.64,120,140.6,124.68,117.88,252,402.66,364.37,315.47
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,power_cooling,NVT,earnings_shock,NVIDIA Q1 FY2024 guide shock: accelerated data centers need more power and cooling,20,15.51,6.61,3.12,60,25.43,16.12,10.37,120,28.38,12.47,5.67,252,107.4,69.11,20.2
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,power_cooling,ECL,earnings_shock,NVIDIA Q1 FY2024 guide shock: accelerated data centers need more power and cooling,20,6.65,-2.25,-5.74,60,8.04,-1.27,-7.02,120,10.4,-5.52,-12.32,252,41.45,3.16,-45.74
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,power_cooling,PWR,earnings_shock,NVIDIA Q1 FY2024 guide shock: accelerated data centers need more power and cooling,20,12.0,3.1,-0.38,60,22.23,12.92,7.17,120,9.84,-6.08,-12.88,252,70.39,32.09,-16.81
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,storage_memory,MU,earnings_shock,NVIDIA Q1 FY2024 guide shock: AI data pipelines and HBM cycle start to matter,20,-1.11,-10.01,-13.49,60,-2.92,-12.23,-17.98,120,17.32,1.41,-5.39,252,97.32,59.03,10.12
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,storage_memory,WDC,earnings_shock,NVIDIA Q1 FY2024 guide shock: AI data pipelines and HBM cycle start to matter,20,0.16,-8.74,-12.23,60,6.88,-2.43,-8.18,120,21.35,5.43,-1.37,252,97.91,59.62,10.71
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,storage_memory,STX,earnings_shock,NVIDIA Q1 FY2024 guide shock: AI data pipelines and HBM cycle start to matter,20,-2.22,-11.12,-14.61,60,6.17,-3.14,-8.89,120,22.24,6.32,-0.48,252,56.89,18.59,-30.31
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,advanced_packaging_hbm,CAMT,earnings_confirmation,NVIDIA Q2 FY2024 revenue +88% QoQ confirmed AI supply ramp,20,10.0,11.38,15.87,60,24.3,17.93,16.08,120,67.75,48.06,30.97,252,100.44,67.44,33.33
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,advanced_packaging_hbm,ONTO,earnings_confirmation,NVIDIA Q2 FY2024 revenue +88% QoQ confirmed AI supply ramp,20,8.23,9.61,14.1,60,19.79,13.43,11.58,120,53.41,33.72,16.63,252,88.76,55.76,21.65
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,advanced_packaging_hbm,FORM,earnings_confirmation,NVIDIA Q2 FY2024 revenue +88% QoQ confirmed AI supply ramp,20,6.94,8.31,12.8,60,24.18,17.82,15.97,120,36.61,16.92,-0.17,252,65.09,32.09,-2.02
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,advanced_packaging_hbm,KLIC,earnings_confirmation,NVIDIA Q2 FY2024 revenue +88% QoQ confirmed AI supply ramp,20,-5.77,-4.39,0.1,60,-2.93,-9.3,-11.15,120,-1.58,-21.28,-38.36,252,-12.62,-45.62,-79.73
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,advanced_packaging_hbm,AMKR,earnings_confirmation,NVIDIA Q2 FY2024 revenue +88% QoQ confirmed AI supply ramp,20,-13.06,-11.68,-7.2,60,1.64,-4.73,-6.58,120,19.8,0.1,-16.98,252,31.43,-1.58,-35.69
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,advanced_packaging_hbm,ACMR,earnings_confirmation,NVIDIA Q2 FY2024 revenue +88% QoQ confirmed AI supply ramp,20,6.08,7.46,11.95,60,22.56,16.19,14.34,120,35.2,15.51,-1.58,252,33.22,0.21,-33.9
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,advanced_packaging_hbm,AEHR,earnings_confirmation,NVIDIA Q2 FY2024 revenue +88% QoQ confirmed AI supply ramp,20,5.69,7.06,11.55,60,-36.9,-43.27,-45.11,120,-53.36,-73.06,-90.14,252,-63.77,-96.77,-130.88
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,optical_networking,LITE,earnings_confirmation,NVIDIA Q2 FY2024 confirmed large-scale AI data center demand,20,-9.14,-7.76,-3.28,60,-14.69,-21.06,-22.91,120,-3.35,-23.05,-40.13,252,15.32,-17.69,-51.8
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,optical_networking,COHR,earnings_confirmation,NVIDIA Q2 FY2024 confirmed large-scale AI data center demand,20,-20.79,-19.41,-14.92,60,-2.85,-9.21,-11.06,120,69.84,50.15,33.07,252,117.42,84.42,50.3
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,optical_networking,AAOI,earnings_confirmation,NVIDIA Q2 FY2024 confirmed large-scale AI data center demand,20,-39.86,-38.48,-33.99,60,-17.12,-23.48,-25.33,120,34.88,15.19,-1.9,252,-37.27,-70.28,-104.39
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,optical_networking,FN,earnings_confirmation,NVIDIA Q2 FY2024 confirmed large-scale AI data center demand,20,-1.56,-0.18,4.31,60,9.51,3.15,1.3,120,31.48,11.79,-5.3,252,73.99,40.98,6.87
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,optical_networking,SMTC,earnings_confirmation,NVIDIA Q2 FY2024 confirmed large-scale AI data center demand,20,-1.21,0.16,4.65,60,-37.68,-44.05,-45.89,120,-20.64,-40.34,-57.42,252,44.58,11.57,-22.54
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,optical_networking,MTSI,earnings_confirmation,NVIDIA Q2 FY2024 confirmed large-scale AI data center demand,20,-1.28,0.1,4.59,60,4.43,-1.93,-3.78,120,10.65,-9.04,-26.13,252,37.83,4.83,-29.28
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,optical_networking,VIAV,earnings_confirmation,NVIDIA Q2 FY2024 confirmed large-scale AI data center demand,20,-12.07,-10.7,-6.21,60,-24.24,-30.6,-32.45,120,-8.65,-28.34,-45.43,252,-20.34,-53.35,-87.46
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,optical_networking,AVGO,earnings_confirmation,NVIDIA Q2 FY2024 confirmed large-scale AI data center demand,20,-5.03,-3.65,0.84,60,12.74,6.37,4.52,120,48.98,29.28,12.2,252,97.81,64.81,30.7
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,optical_networking,MRVL,earnings_confirmation,NVIDIA Q2 FY2024 confirmed large-scale AI data center demand,20,-13.01,-11.63,-7.14,60,-8.17,-14.53,-16.38,120,15.98,-3.72,-20.8,252,21.02,-11.98,-46.09
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,power_cooling,VRT,earnings_confirmation,NVIDIA Q2 FY2024 confirmed sustained AI infrastructure buildout,20,3.86,5.24,9.73,60,22.5,16.14,14.29,120,85.89,66.2,49.11,252,124.88,91.88,57.77
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,power_cooling,ETN,earnings_confirmation,NVIDIA Q2 FY2024 confirmed sustained AI infrastructure buildout,20,-3.06,-1.68,2.81,60,4.79,-1.57,-3.42,120,27.35,7.66,-9.43,252,39.94,6.93,-27.18
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,power_cooling,POWL,earnings_confirmation,NVIDIA Q2 FY2024 confirmed sustained AI infrastructure buildout,20,-1.64,-0.26,4.23,60,5.43,-0.94,-2.79,120,96.5,76.81,59.72,252,148.59,115.58,81.47
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,power_cooling,MOD,earnings_confirmation,NVIDIA Q2 FY2024 confirmed sustained AI infrastructure buildout,20,-1.59,-0.22,4.27,60,9.54,3.17,1.33,120,75.34,55.64,38.56,252,168.0,134.99,100.88
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,power_cooling,NVT,earnings_confirmation,NVIDIA Q2 FY2024 confirmed sustained AI infrastructure buildout,20,3.33,4.7,9.19,60,2.2,-4.16,-6.01,120,23.5,3.8,-13.28,252,32.1,-0.9,-35.01
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,power_cooling,ECL,earnings_confirmation,NVIDIA Q2 FY2024 confirmed sustained AI infrastructure buildout,20,-4.4,-3.02,1.47,60,2.84,-3.52,-5.37,120,20.88,1.19,-15.9,252,38.41,5.41,-28.7
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,power_cooling,PWR,earnings_confirmation,NVIDIA Q2 FY2024 confirmed sustained AI infrastructure buildout,20,-9.76,-8.38,-3.89,60,-11.25,-17.62,-19.47,120,2.99,-16.7,-33.78,252,32.41,-0.6,-34.71
2024-03-18,2024-03-18,blackwell_gtc_2024,advanced_packaging_hbm,CAMT,architecture_shift,NVIDIA Blackwell introduces larger rack-scale AI systems and more packaging/memory complexity,20,11.48,12.0,10.88,60,54.19,44.77,33.42,120,1.42,-3.62,0.49,252,-9.46,-20.57,-14.15
2024-03-18,2024-03-18,blackwell_gtc_2024,advanced_packaging_hbm,ONTO,architecture_shift,NVIDIA Blackwell introduces larger rack-scale AI systems and more packaging/memory complexity,20,8.15,8.66,7.54,60,28.12,18.7,7.35,120,2.96,-2.07,2.04,252,-21.54,-32.64,-26.23
2024-03-18,2024-03-18,blackwell_gtc_2024,advanced_packaging_hbm,FORM,architecture_shift,NVIDIA Blackwell introduces larger rack-scale AI systems and more packaging/memory complexity,20,3.94,4.46,3.33,60,34.43,25.01,13.66,120,-3.19,-8.23,-4.12,252,-24.32,-35.43,-29.01
2024-03-18,2024-03-18,blackwell_gtc_2024,advanced_packaging_hbm,KLIC,architecture_shift,NVIDIA Blackwell introduces larger rack-scale AI systems and more packaging/memory complexity,20,0.13,0.65,-0.47,60,-2.38,-11.79,-23.15,120,-17.96,-23.0,-18.89,252,-22.85,-33.95,-27.53
2024-03-18,2024-03-18,blackwell_gtc_2024,advanced_packaging_hbm,AMKR,architecture_shift,NVIDIA Blackwell introduces larger rack-scale AI systems and more packaging/memory complexity,20,-0.13,0.39,-0.73,60,14.26,4.85,-6.51,120,-7.78,-12.82,-8.7,252,-36.13,-47.24,-40.82
2024-03-18,2024-03-18,blackwell_gtc_2024,advanced_packaging_hbm,ACMR,architecture_shift,NVIDIA Blackwell introduces larger rack-scale AI systems and more packaging/memory complexity,20,6.38,6.9,5.78,60,-9.41,-18.82,-30.18,120,-42.46,-47.5,-43.38,252,1.44,-9.67,-3.25
2024-03-18,2024-03-18,blackwell_gtc_2024,advanced_packaging_hbm,AEHR,architecture_shift,NVIDIA Blackwell introduces larger rack-scale AI systems and more packaging/memory complexity,20,-18.5,-17.98,-19.1,60,-2.6,-12.02,-23.37,120,-6.61,-11.65,-7.54,252,-36.99,-48.1,-41.68
2024-03-18,2024-03-18,blackwell_gtc_2024,optical_networking,LITE,architecture_shift,NVIDIA Blackwell/rack-scale systems intensify cluster interconnect demands,20,-4.92,-4.4,-5.52,60,2.99,-6.43,-17.79,120,12.4,7.37,11.48,252,51.11,40.0,46.42
2024-03-18,2024-03-18,blackwell_gtc_2024,optical_networking,COHR,architecture_shift,NVIDIA Blackwell/rack-scale systems intensify cluster interconnect demands,20,-9.72,-9.2,-10.32,60,19.86,10.44,-0.91,120,20.49,15.45,19.56,252,16.93,5.83,12.24
2024-03-18,2024-03-18,blackwell_gtc_2024,optical_networking,AAOI,architecture_shift,NVIDIA Blackwell/rack-scale systems intensify cluster interconnect demands,20,-5.59,-5.07,-6.2,60,-17.8,-27.21,-38.57,120,2.52,-2.52,1.59,252,65.98,54.88,61.29
2024-03-18,2024-03-18,blackwell_gtc_2024,optical_networking,FN,architecture_shift,NVIDIA Blackwell/rack-scale systems intensify cluster interconnect demands,20,-13.58,-13.07,-14.19,60,18.83,9.42,-1.94,120,4.95,-0.09,4.02,252,11.02,-0.08,6.33
2024-03-18,2024-03-18,blackwell_gtc_2024,optical_networking,SMTC,architecture_shift,NVIDIA Blackwell/rack-scale systems intensify cluster interconnect demands,20,44.16,44.68,43.55,60,32.91,23.49,12.14,120,75.54,70.5,74.61,252,77.86,66.75,73.17
2024-03-18,2024-03-18,blackwell_gtc_2024,optical_networking,MTSI,architecture_shift,NVIDIA Blackwell/rack-scale systems intensify cluster interconnect demands,20,11.58,12.1,10.97,60,17.62,8.21,-3.15,120,8.53,3.49,7.6,252,21.41,10.3,16.72
2024-03-18,2024-03-18,blackwell_gtc_2024,optical_networking,VIAV,architecture_shift,NVIDIA Blackwell/rack-scale systems intensify cluster interconnect demands,20,-15.62,-15.1,-16.22,60,-23.43,-32.84,-44.2,120,-19.17,-24.21,-20.1,252,15.21,4.11,10.52
2024-03-18,2024-03-18,blackwell_gtc_2024,optical_networking,AVGO,architecture_shift,NVIDIA Blackwell/rack-scale systems intensify cluster interconnect demands,20,8.03,8.55,7.42,60,21.56,12.14,0.79,120,14.83,9.79,13.9,252,56.77,45.67,52.08
2024-03-18,2024-03-18,blackwell_gtc_2024,optical_networking,MRVL,architecture_shift,NVIDIA Blackwell/rack-scale systems intensify cluster interconnect demands,20,2.19,2.71,1.59,60,9.8,0.38,-10.97,120,3.25,-1.79,2.33,252,5.73,-5.37,1.04
2024-03-18,2024-03-18,blackwell_gtc_2024,optical_networking,CRDO,architecture_shift,NVIDIA Blackwell/rack-scale systems intensify cluster interconnect demands,20,1.84,2.36,1.23,60,52.81,43.4,32.04,120,27.48,22.44,26.56,252,144.3,133.19,139.61
2024-03-18,2024-03-18,blackwell_gtc_2024,power_cooling,VRT,architecture_shift,NVIDIA Blackwell/rack-scale AI factory framing increases power-density demands,20,11.09,11.61,10.49,60,21.63,12.21,0.86,120,0.49,-4.55,-0.43,252,20.31,9.21,15.62
2024-03-18,2024-03-18,blackwell_gtc_2024,power_cooling,ETN,architecture_shift,NVIDIA Blackwell/rack-scale AI factory framing increases power-density demands,20,5.86,6.38,5.25,60,10.15,0.74,-10.62,120,-2.24,-7.28,-3.17,252,0.48,-10.62,-4.21
2024-03-18,2024-03-18,blackwell_gtc_2024,power_cooling,POWL,architecture_shift,NVIDIA Blackwell/rack-scale AI factory framing increases power-density demands,20,-22.05,-21.53,-22.66,60,7.82,-1.6,-12.95,120,-3.07,-8.11,-4.0,252,13.36,2.25,8.67
2024-03-18,2024-03-18,blackwell_gtc_2024,power_cooling,MOD,architecture_shift,NVIDIA Blackwell/rack-scale AI factory framing increases power-density demands,20,2.02,2.54,1.42,60,8.48,-0.94,-12.29,120,11.11,6.07,10.18,252,-0.87,-11.97,-5.56
2024-03-18,2024-03-18,blackwell_gtc_2024,power_cooling,NVT,architecture_shift,NVIDIA Blackwell/rack-scale AI factory framing increases power-density demands,20,4.56,5.08,3.95,60,16.48,7.07,-4.29,120,-10.88,-15.92,-11.81,252,-17.87,-28.98,-22.56
2024-03-18,2024-03-18,blackwell_gtc_2024,power_cooling,ECL,architecture_shift,NVIDIA Blackwell/rack-scale AI factory framing increases power-density demands,20,-2.54,-2.02,-3.15,60,6.88,-2.54,-13.9,120,10.46,5.42,9.53,252,12.51,1.41,7.82
2024-03-18,2024-03-18,blackwell_gtc_2024,power_cooling,PWR,architecture_shift,NVIDIA Blackwell/rack-scale AI factory framing increases power-density demands,20,2.48,3.0,1.88,60,14.06,4.65,-6.71,120,3.08,-1.96,2.16,252,11.83,0.72,7.14
2024-03-18,2024-03-18,blackwell_gtc_2024,copper_interconnect,CRDO,architecture_shift,NVIDIA Blackwell/rack-scale systems require faster copper/electrical connectivity,20,1.84,2.36,1.23,60,52.81,43.4,32.04,120,27.48,22.44,26.56,252,144.3,133.19,139.61
2024-03-18,2024-03-18,blackwell_gtc_2024,copper_interconnect,ALAB,architecture_shift,NVIDIA Blackwell/rack-scale systems require faster copper/electrical connectivity,20,,,,60,,,,120,,,,252,,,
2024-03-18,2024-03-18,blackwell_gtc_2024,copper_interconnect,APH,architecture_shift,NVIDIA Blackwell/rack-scale systems require faster copper/electrical connectivity,20,3.2,3.72,2.59,60,25.94,16.53,5.17,120,11.53,6.49,10.6,252,22.77,11.66,18.08
2024-03-18,2024-03-18,blackwell_gtc_2024,copper_interconnect,TEL,architecture_shift,NVIDIA Blackwell/rack-scale systems require faster copper/electrical connectivity,20,2.65,3.17,2.05,60,8.77,-0.64,-12.0,120,4.97,-0.07,4.04,252,6.93,-4.17,2.24
2024-03-18,2024-03-18,blackwell_gtc_2024,copper_interconnect,MXL,architecture_shift,NVIDIA Blackwell/rack-scale systems require faster copper/electrical connectivity,20,20.68,21.19,20.07,60,2.31,-7.11,-18.46,120,-24.9,-29.94,-25.83,252,-26.93,-38.03,-31.62
2024-03-18,2024-03-18,blackwell_gtc_2024,copper_interconnect,AVGO,architecture_shift,NVIDIA Blackwell/rack-scale systems require faster copper/electrical connectivity,20,8.03,8.55,7.42,60,21.56,12.14,0.79,120,14.83,9.79,13.9,252,56.77,45.67,52.08
2024-03-18,2024-03-18,blackwell_gtc_2024,copper_interconnect,MRVL,architecture_shift,NVIDIA Blackwell/rack-scale systems require faster copper/electrical connectivity,20,2.19,2.71,1.59,60,9.8,0.38,-10.97,120,3.25,-1.79,2.33,252,5.73,-5.37,1.04
