ticker,date,source,source_url,source_type,reliability_score,event_window,layer,criterion_id,criterion,threshold,status_pre_event,notes
MOD,2026-05-25,official Modine Q4 call notice,https://investors.modine.com/news/news-details/2026/Modine-to-Host-Fourth-Quarter-Fiscal-2026-Earnings-Conference-Call-on-May-27-2026/default.aspx,official_event_notice,0.95,2026-05-26/27 Q4 FY2026,Layer2_Management,L2_NQ_GUIDE,Next-quarter guide upside,Guide or outlook raised vs prior public outlook or consensus; no fixed percent,pending,call 后判断
MOD,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026-05-26/27 Q4 FY2026,Layer2_Management,L2_FY_GUIDE,FY guide raise,FY2027 guide implies data-center growth >=50% and no FCF deterioration,pending,call 后判断
MOD,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026-05-26/27 Q4 FY2026,Layer2_Management,L2_SPECIFIC,Specific product/customer/capacity/delivery details,Specific capacity or delivery-cycle details beyond generic demand strong,pending,不能只是泛泛说 demand strong
MOD,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026-05-26/27 Q4 FY2026,Layer2_Management,L2_MARGIN_EXPLAIN,Margin explanation quality,Capacity expansion pressure is temporary; price/mix pressure is structural and blocks adding,pending,若说明结构性成本压力则不加仓
MOD,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026-05-26/27 Q4 FY2026,Layer3_Market,L3_VWAP,Post-earnings VWAP/20DMA,Hold VWAP/20DMA over 5-20 trading days,pending,只影响节奏
MOD,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026-05-26/27 Q4 FY2026,Layer3_Market,L3_ANALYST,Analyst revisions,Upgrades or estimate raises > downgrades,pending,只影响节奏
MOD,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026-05-26/27 Q4 FY2026,Layer3_Market,L3_PEERS,Peer confirmation,Same theme peers confirm within 20 trading days,pending,只影响节奏
MTSI,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer1_Fundamental,L1_REV,Revenue/guide beat,Revenue >$339M guide high end,pending,当晚判断
MTSI,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer1_Fundamental,L1_GM,Gross margin threshold,Adjusted GM >=59.5% midpoint,pending,低于阈值必须解释 temporary vs structural
MTSI,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer1_Fundamental,L1_ORDER,Backlog/order/bookings signal,Q4 guide sequentially strong,pending,订单或 backlog 必须来自公开披露
MTSI,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer1_Fundamental,L1_AI_LANG,AI/data-center language improves,Explicitly stronger than prior quarter,pending,只作为第一层一项，不作为单独买入理由
MTSI,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer2_Management,L2_NQ_GUIDE,Next-quarter guide upside,Guide or outlook raised vs prior public outlook or consensus; no fixed percent,pending,call 后判断
MTSI,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer2_Management,L2_FY_GUIDE,FY guide raise,FY guide raised or explicit growth acceleration; no fixed percent,pending,call 后判断
MTSI,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer2_Management,L2_SPECIFIC,Specific product/customer/capacity/delivery details,Named or clearly specific product/order/capacity detail,pending,不能只是泛泛说 demand strong
MTSI,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer2_Management,L2_MARGIN_EXPLAIN,Margin explanation quality,No structural price/mix deterioration,pending,若说明结构性成本压力则不加仓
MTSI,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer3_Market,L3_VWAP,Post-earnings VWAP/20DMA,Hold VWAP/20DMA over 5-20 trading days,pending,只影响节奏
MTSI,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer3_Market,L3_ANALYST,Analyst revisions,Upgrades or estimate raises > downgrades,pending,只影响节奏
MTSI,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer3_Market,L3_PEERS,Peer confirmation,Same theme peers confirm within 20 trading days,pending,只影响节奏
VECO,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer1_Fundamental,L1_REV,Revenue/guide beat,Revenue >$190M guide high end,pending,当晚判断
VECO,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer1_Fundamental,L1_GM,Gross margin threshold,Non-GAAP GM not below prior guide by >50bp,pending,低于阈值必须解释 temporary vs structural
VECO,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer1_Fundamental,L1_ORDER,Backlog/order/bookings signal,InP laser order conversion and FY guide >$800M,pending,订单或 backlog 必须来自公开披露
VECO,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer1_Fundamental,L1_AI_LANG,AI/data-center language improves,Explicitly stronger than prior quarter,pending,只作为第一层一项，不作为单独买入理由
VECO,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer2_Management,L2_NQ_GUIDE,Next-quarter guide upside,Guide or outlook raised vs prior public outlook or consensus; no fixed percent,pending,call 后判断
VECO,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer2_Management,L2_FY_GUIDE,FY guide raise,FY guide raised or explicit growth acceleration; no fixed percent,pending,call 后判断
VECO,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer2_Management,L2_SPECIFIC,Specific product/customer/capacity/delivery details,Named or clearly specific product/order/capacity detail,pending,不能只是泛泛说 demand strong
VECO,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer2_Management,L2_MARGIN_EXPLAIN,Margin explanation quality,No structural price/mix deterioration,pending,若说明结构性成本压力则不加仓
VECO,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer3_Market,L3_VWAP,Post-earnings VWAP/20DMA,Hold VWAP/20DMA over 5-20 trading days,pending,只影响节奏
VECO,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer3_Market,L3_ANALYST,Analyst revisions,Upgrades or estimate raises > downgrades,pending,只影响节奏
VECO,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer3_Market,L3_PEERS,Peer confirmation,Same theme peers confirm within 20 trading days,pending,只影响节奏
POWL,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer1_Fundamental,L1_REV,Revenue/guide beat,Backlog includes >$400M data-center order,pending,当晚判断
POWL,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer1_Fundamental,L1_GM,Gross margin threshold,Gross margin >=27%,pending,低于阈值必须解释 temporary vs structural
POWL,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer1_Fundamental,L1_ORDER,Backlog/order/bookings signal,Book-to-bill >=1.2x or backlog grows,pending,订单或 backlog 必须来自公开披露
POWL,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer1_Fundamental,L1_AI_LANG,AI/data-center language improves,Explicitly stronger than prior quarter,pending,只作为第一层一项，不作为单独买入理由
POWL,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer2_Management,L2_NQ_GUIDE,Next-quarter guide upside,Guide or outlook raised vs prior public outlook or consensus; no fixed percent,pending,call 后判断
POWL,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer2_Management,L2_FY_GUIDE,FY guide raise,FY guide raised or explicit growth acceleration; no fixed percent,pending,call 后判断
POWL,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer2_Management,L2_SPECIFIC,Specific product/customer/capacity/delivery details,Named or clearly specific product/order/capacity detail,pending,不能只是泛泛说 demand strong
POWL,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer2_Management,L2_MARGIN_EXPLAIN,Margin explanation quality,No structural price/mix deterioration,pending,若说明结构性成本压力则不加仓
POWL,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer3_Market,L3_VWAP,Post-earnings VWAP/20DMA,Hold VWAP/20DMA over 5-20 trading days,pending,只影响节奏
POWL,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer3_Market,L3_ANALYST,Analyst revisions,Upgrades or estimate raises > downgrades,pending,只影响节奏
POWL,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer3_Market,L3_PEERS,Peer confirmation,Same theme peers confirm within 20 trading days,pending,只影响节奏
FORM,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 2026,Layer1_Fundamental,L1_REV,Revenue/guide beat,Revenue >$245M guide high end,pending,当晚判断
FORM,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 2026,Layer1_Fundamental,L1_GM,Gross margin threshold,Non-GAAP GM >=49.5% midpoint,pending,低于阈值必须解释 temporary vs structural
FORM,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 2026,Layer1_Fundamental,L1_ORDER,Backlog/order/bookings signal,HBM/probe demand continues,pending,订单或 backlog 必须来自公开披露
FORM,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 2026,Layer1_Fundamental,L1_AI_LANG,AI/data-center language improves,Explicitly stronger than prior quarter,pending,只作为第一层一项，不作为单独买入理由
FORM,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 2026,Layer2_Management,L2_NQ_GUIDE,Next-quarter guide upside,Guide or outlook raised vs prior public outlook or consensus; no fixed percent,pending,call 后判断
FORM,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 2026,Layer2_Management,L2_FY_GUIDE,FY guide raise,FY guide raised or explicit growth acceleration; no fixed percent,pending,call 后判断
FORM,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 2026,Layer2_Management,L2_SPECIFIC,Specific product/customer/capacity/delivery details,Named or clearly specific product/order/capacity detail,pending,不能只是泛泛说 demand strong
FORM,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 2026,Layer2_Management,L2_MARGIN_EXPLAIN,Margin explanation quality,No structural price/mix deterioration,pending,若说明结构性成本压力则不加仓
FORM,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 2026,Layer3_Market,L3_VWAP,Post-earnings VWAP/20DMA,Hold VWAP/20DMA over 5-20 trading days,pending,只影响节奏
FORM,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 2026,Layer3_Market,L3_ANALYST,Analyst revisions,Upgrades or estimate raises > downgrades,pending,只影响节奏
FORM,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 2026,Layer3_Market,L3_PEERS,Peer confirmation,Same theme peers confirm within 20 trading days,pending,只影响节奏
KLIC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer1_Fundamental,L1_REV,Revenue/guide beat,Revenue >$330M,pending,当晚判断
KLIC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer1_Fundamental,L1_GM,Gross margin threshold,Gross margin >=49%,pending,低于阈值必须解释 temporary vs structural
KLIC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer1_Fundamental,L1_ORDER,Backlog/order/bookings signal,TCB/HBM capacity monetization language,pending,订单或 backlog 必须来自公开披露
KLIC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer1_Fundamental,L1_AI_LANG,AI/data-center language improves,Explicitly stronger than prior quarter,pending,只作为第一层一项，不作为单独买入理由
KLIC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer2_Management,L2_NQ_GUIDE,Next-quarter guide upside,Guide or outlook raised vs prior public outlook or consensus; no fixed percent,pending,call 后判断
KLIC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer2_Management,L2_FY_GUIDE,FY guide raise,FY guide raised or explicit growth acceleration; no fixed percent,pending,call 后判断
KLIC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer2_Management,L2_SPECIFIC,Specific product/customer/capacity/delivery details,Named or clearly specific product/order/capacity detail,pending,不能只是泛泛说 demand strong
KLIC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer2_Management,L2_MARGIN_EXPLAIN,Margin explanation quality,No structural price/mix deterioration,pending,若说明结构性成本压力则不加仓
KLIC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer3_Market,L3_VWAP,Post-earnings VWAP/20DMA,Hold VWAP/20DMA over 5-20 trading days,pending,只影响节奏
KLIC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer3_Market,L3_ANALYST,Analyst revisions,Upgrades or estimate raises > downgrades,pending,只影响节奏
KLIC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q3 FY2026,Layer3_Market,L3_PEERS,Peer confirmation,Same theme peers confirm within 20 trading days,pending,只影响节奏
AEHR,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,FY2027 guide window,Layer1_Fundamental,L1_REV,Revenue/guide beat,FY2027 revenue guide >$150M,pending,当晚判断
AEHR,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,FY2027 guide window,Layer1_Fundamental,L1_GM,Gross margin threshold,Gross margin stable vs model,pending,低于阈值必须解释 temporary vs structural
AEHR,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,FY2027 guide window,Layer1_Fundamental,L1_ORDER,Backlog/order/bookings signal,Bookings convert and repeat orders appear,pending,订单或 backlog 必须来自公开披露
AEHR,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,FY2027 guide window,Layer1_Fundamental,L1_AI_LANG,AI/data-center language improves,Explicitly stronger than prior quarter,pending,只作为第一层一项，不作为单独买入理由
AEHR,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,FY2027 guide window,Layer2_Management,L2_NQ_GUIDE,Next-quarter guide upside,Guide or outlook raised vs prior public outlook or consensus; no fixed percent,pending,call 后判断
AEHR,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,FY2027 guide window,Layer2_Management,L2_FY_GUIDE,FY guide raise,FY guide raised or explicit growth acceleration; no fixed percent,pending,call 后判断
AEHR,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,FY2027 guide window,Layer2_Management,L2_SPECIFIC,Specific product/customer/capacity/delivery details,Named or clearly specific product/order/capacity detail,pending,不能只是泛泛说 demand strong
AEHR,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,FY2027 guide window,Layer2_Management,L2_MARGIN_EXPLAIN,Margin explanation quality,No structural price/mix deterioration,pending,若说明结构性成本压力则不加仓
AEHR,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,FY2027 guide window,Layer3_Market,L3_VWAP,Post-earnings VWAP/20DMA,Hold VWAP/20DMA over 5-20 trading days,pending,只影响节奏
AEHR,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,FY2027 guide window,Layer3_Market,L3_ANALYST,Analyst revisions,Upgrades or estimate raises > downgrades,pending,只影响节奏
AEHR,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,FY2027 guide window,Layer3_Market,L3_PEERS,Peer confirmation,Same theme peers confirm within 20 trading days,pending,只影响节奏
COHU,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer1_Fundamental,L1_REV,Revenue/guide beat,Revenue >$151M guide high end,pending,当晚判断
COHU,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer1_Fundamental,L1_GM,Gross margin threshold,GM >=46.5% Q1 non-GAAP level,pending,低于阈值必须解释 temporary vs structural
COHU,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer1_Fundamental,L1_ORDER,Backlog/order/bookings signal,HPC/GaN orders repeat,pending,订单或 backlog 必须来自公开披露
COHU,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer1_Fundamental,L1_AI_LANG,AI/data-center language improves,Explicitly stronger than prior quarter,pending,只作为第一层一项，不作为单独买入理由
COHU,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer2_Management,L2_NQ_GUIDE,Next-quarter guide upside,Guide or outlook raised vs prior public outlook or consensus; no fixed percent,pending,call 后判断
COHU,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer2_Management,L2_FY_GUIDE,FY guide raise,FY guide raised or explicit growth acceleration; no fixed percent,pending,call 后判断
COHU,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer2_Management,L2_SPECIFIC,Specific product/customer/capacity/delivery details,Named or clearly specific product/order/capacity detail,pending,不能只是泛泛说 demand strong
COHU,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer2_Management,L2_MARGIN_EXPLAIN,Margin explanation quality,No structural price/mix deterioration,pending,若说明结构性成本压力则不加仓
COHU,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer3_Market,L3_VWAP,Post-earnings VWAP/20DMA,Hold VWAP/20DMA over 5-20 trading days,pending,只影响节奏
COHU,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer3_Market,L3_ANALYST,Analyst revisions,Upgrades or estimate raises > downgrades,pending,只影响节奏
COHU,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026Q2 FY2026,Layer3_Market,L3_PEERS,Peer confirmation,Same theme peers confirm within 20 trading days,pending,只影响节奏
