ticker,date,source,source_url,source_type,reliability_score,tier,scenario,probability,confidence,trigger_events,driver_chain,revenue_impact,margin_impact,fcf_impact,valuation_multiple,target_price,falsification_signal,error_band
SMTC,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.85,Tier 1,base,50%,Medium-High,Q1 FY2027 guide and 1.6T/3.2T signal validates current guide,Orders/backlog/guide -> revenue bridge -> margin mostly stable,Tracks current guide plus known orders,Near guide or recent run-rate,FCF conversion normalizes,Peer median or justified premium,180-200,Inline guide or structural GM pressure,±10%-15%
SMTC,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.85,Tier 1,bull,25%,Medium,Q1 FY2027 guide and 1.6T/3.2T signal plus repeat order/guide raise,Demand acceleration -> utilization -> margin/valuation premium,20%-40% above base,Stable to +150bp,FCF conversion improves,Premium peer multiple,230-260,No repeat validation within two quarters; Inline guide or structural GM pressure,±20%-25%
MTSI,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.85,Tier 1,bear,25%,Medium,Q3 revenue > guide and GM 59%-60% fails,Demand/order weakness -> revenue below model -> multiple compression,15%-25% below base,-150bp to -300bp,FCF conversion weak,Low peer multiple / reset valuation,280-305,Q3 <331M or GM <59%,±15%-20%
MTSI,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.85,Tier 1,base,50%,Medium-High,Q3 revenue > guide and GM 59%-60% validates current guide,Orders/backlog/guide -> revenue bridge -> margin mostly stable,Tracks current guide plus known orders,Near guide or recent run-rate,FCF conversion normalizes,Peer median or justified premium,440-480,Q3 <331M or GM <59%,±10%-15%
MTSI,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.85,Tier 1,bull,25%,Medium,Q3 revenue > guide and GM 59%-60% plus repeat order/guide raise,Demand acceleration -> utilization -> margin/valuation premium,20%-40% above base,Stable to +150bp,FCF conversion improves,Premium peer multiple,540-600,No repeat validation within two quarters; Q3 <331M or GM <59%,±20%-25%
COHU,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.85,Tier 1,bear,25%,Medium,FY26 HPC $80M-$100M and GaN repeat fails,Demand/order weakness -> revenue below model -> multiple compression,15%-25% below base,-150bp to -300bp,FCF conversion weak,Low peer multiple / reset valuation,38-40,HPC/GaN orders one-off,±15%-20%
COHU,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.85,Tier 1,base,50%,Medium-High,FY26 HPC $80M-$100M and GaN repeat validates current guide,Orders/backlog/guide -> revenue bridge -> margin mostly stable,Tracks current guide plus known orders,Near guide or recent run-rate,FCF conversion normalizes,Peer median or justified premium,55-60,HPC/GaN orders one-off,±10%-15%
COHU,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.85,Tier 1,bull,25%,Medium,FY26 HPC $80M-$100M and GaN repeat plus repeat order/guide raise,Demand acceleration -> utilization -> margin/valuation premium,20%-40% above base,Stable to +150bp,FCF conversion improves,Premium peer multiple,70-80,No repeat validation within two quarters; HPC/GaN orders one-off,±20%-25%
FORM,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,bear,25%,Medium,HBM/probe demand and Q2 record revenue fails,Proxy demand weakens -> revenue bridge lower -> growth discount,20%-30% below base,-150bp to -400bp,FCF delayed or weak,Lower peer multiple,100-110,HBM/probe demand slows,±30%
FORM,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,base,50%,Medium,HBM/probe demand and Q2 record revenue validates public thesis,Known guide/orders + proxy customer demand -> revenue bridge,Tracks guide and known orders,Near current guide/run-rate,FCF stable if working capital normal,Peer median multiple,150-170,HBM/probe demand slows,±30%
FORM,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,bull,25%,Low-Medium,HBM/probe demand and Q2 record revenue plus new customer/order acceleration,Additional demand proxy -> utilization -> premium multiple,20%-40% above base,Stable to +150bp,FCF conversion improves,Premium peer multiple,190-220,No follow-on orders within two quarters,±35%
ONTO,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,bear,25%,Medium,Dragonfly G5 follow-on and Q2/Q3 guide fails,Proxy demand weakens -> revenue bridge lower -> growth discount,20%-30% below base,-150bp to -400bp,FCF delayed or weak,Lower peer multiple,225-235,No G5/Rigaku follow-through,±30%
ONTO,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,base,50%,Medium,Dragonfly G5 follow-on and Q2/Q3 guide validates public thesis,Known guide/orders + proxy customer demand -> revenue bridge,Tracks guide and known orders,Near current guide/run-rate,FCF stable if working capital normal,Peer median multiple,300-325,No G5/Rigaku follow-through,±30%
ONTO,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,bull,25%,Low-Medium,Dragonfly G5 follow-on and Q2/Q3 guide plus new customer/order acceleration,Additional demand proxy -> utilization -> premium multiple,20%-40% above base,Stable to +150bp,FCF conversion improves,Premium peer multiple,360-400,No follow-on orders within two quarters,±35%
CAMT,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,bear,25%,Medium,H2 growth >25% and AP/AI mix fails,Proxy demand weakens -> revenue bridge lower -> growth discount,20%-30% below base,-150bp to -400bp,FCF delayed or weak,Lower peer multiple,145-155,H2 step-up fails,±30%
CAMT,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,base,50%,Medium,H2 growth >25% and AP/AI mix validates public thesis,Known guide/orders + proxy customer demand -> revenue bridge,Tracks guide and known orders,Near current guide/run-rate,FCF stable if working capital normal,Peer median multiple,190-210,H2 step-up fails,±30%
CAMT,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,bull,25%,Low-Medium,H2 growth >25% and AP/AI mix plus new customer/order acceleration,Additional demand proxy -> utilization -> premium multiple,20%-40% above base,Stable to +150bp,FCF conversion improves,Premium peer multiple,240-270,No follow-on orders within two quarters,±35%
VECO,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,bear,25%,Medium,InP orders convert and FY guide >800M fails,Proxy demand weakens -> revenue bridge lower -> growth discount,20%-30% below base,-150bp to -400bp,FCF delayed or weak,Lower peer multiple,45-50,InP delivery or FY guide weakens,±30%
VECO,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,base,50%,Medium,InP orders convert and FY guide >800M validates public thesis,Known guide/orders + proxy customer demand -> revenue bridge,Tracks guide and known orders,Near current guide/run-rate,FCF stable if working capital normal,Peer median multiple,70-75,InP delivery or FY guide weakens,±30%
VECO,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,bull,25%,Low-Medium,InP orders convert and FY guide >800M plus new customer/order acceleration,Additional demand proxy -> utilization -> premium multiple,20%-40% above base,Stable to +150bp,FCF conversion improves,Premium peer multiple,85-95,No follow-on orders within two quarters,±35%
KLIC,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,bear,25%,Medium,TCB capacity monetized and Q3 >330M fails,Proxy demand weakens -> revenue bridge lower -> growth discount,20%-30% below base,-150bp to -400bp,FCF delayed or weak,Lower peer multiple,80-86,TCB orders fail or legacy drags,±30%
KLIC,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,base,50%,Medium,TCB capacity monetized and Q3 >330M validates public thesis,Known guide/orders + proxy customer demand -> revenue bridge,Tracks guide and known orders,Near current guide/run-rate,FCF stable if working capital normal,Peer median multiple,120-130,TCB orders fail or legacy drags,±30%
KLIC,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,bull,25%,Low-Medium,TCB capacity monetized and Q3 >330M plus new customer/order acceleration,Additional demand proxy -> utilization -> premium multiple,20%-40% above base,Stable to +150bp,FCF conversion improves,Premium peer multiple,150-165,No follow-on orders within two quarters,±35%
AEHR,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,bear,25%,Medium,FY2027 guide >150M and repeat orders fails,Proxy demand weakens -> revenue bridge lower -> growth discount,20%-30% below base,-150bp to -400bp,FCF delayed or weak,Lower peer multiple,68-72,Bookings fail to convert,±30%
AEHR,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,base,50%,Medium,FY2027 guide >150M and repeat orders validates public thesis,Known guide/orders + proxy customer demand -> revenue bridge,Tracks guide and known orders,Near current guide/run-rate,FCF stable if working capital normal,Peer median multiple,115-130,Bookings fail to convert,±30%
AEHR,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.70,Tier 2,bull,25%,Low-Medium,FY2027 guide >150M and repeat orders plus new customer/order acceleration,Additional demand proxy -> utilization -> premium multiple,20%-40% above base,Stable to +150bp,FCF conversion improves,Premium peer multiple,160-190,No follow-on orders within two quarters,±35%
POET,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.55,Tier 3,milestone_option,N/A,<60%,Late-2026 engineering samples and Malaysia ramp,survival_probability 70% x milestone_probability 35% x payoff_range 18-40,No precise 2026 revenue forecast; milestone window 2026H2-2027,No DCF margin forecast,"Cash runway and dilution tracked, not FCF model",Milestone option payoff framework,18-40,Milestone misses or financing/strategic risk worsens,N/A
LWLG,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.55,Tier 3,milestone_option,N/A,<60%,Mid-2026 validation and foundry transfer,survival_probability 75% x milestone_probability 25% x payoff_range 16-35,No precise 2026 revenue forecast; milestone window 2026H2,No DCF margin forecast,"Cash runway and dilution tracked, not FCF model",Milestone option payoff framework,16-35,Milestone misses or financing/strategic risk worsens,N/A
ALMU,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.55,Tier 3,milestone_option,N/A,<60%,Commercial order beyond R&D contracts,survival_probability 80% x milestone_probability 25% x payoff_range 28-60,No precise 2026 revenue forecast; milestone window 2026H2-2027,No DCF margin forecast,"Cash runway and dilution tracked, not FCF model",Milestone option payoff framework,28-60,Milestone misses or financing/strategic risk worsens,N/A
PPSI,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.55,Tier 3,milestone_option,N/A,<60%,PRYMUS repeat orders and PowerCore delivery,survival_probability 70% x milestone_probability 30% x payoff_range 6.5-12,No precise 2026 revenue forecast; milestone window 2026H2,No DCF margin forecast,"Cash runway and dilution tracked, not FCF model",Milestone option payoff framework,6.5-12,Milestone misses or financing/strategic risk worsens,N/A
NEO.TO,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.55,Tier 3,milestone_option,N/A,<60%,European PM facility commercial programs,survival_probability 85% x milestone_probability 40% x payoff_range 34-55 CAD,No precise 2026 revenue forecast; milestone window 2026H2,No DCF margin forecast,"Cash runway and dilution tracked, not FCF model",Milestone option payoff framework,34-55 CAD,Milestone misses or financing/strategic risk worsens,N/A
IQE.L,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.55,Tier 3,milestone_option,N/A,<60%,Strategic review and AI photonics revenue clarity,survival_probability 65% x milestone_probability 25% x payoff_range 55-100p,No precise 2026 revenue forecast; milestone window 2026H1-H2,No DCF margin forecast,"Cash runway and dilution tracked, not FCF model",Milestone option payoff framework,55-100p,Milestone misses or financing/strategic risk worsens,N/A
